ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
1739,Dubailand,2 BR,2,1001,26,Serviced Apartment,Semi-Furnished,Park View,New,2,961000,960,61000,24880,2024-08-01,26
1740,Arjan,2 BR,2,1176,33,Villa Compound,Semi-Furnished,Street View,Good,2,1252000,1065,89000,24870,2023-03-19,34
1741,Bur Dubai,5+ BR,5,3007,51,Serviced Apartment,Unfurnished,Pool View,New,0,2879000,957,202000,67887,2023-04-04,140
1742,Dubai Hills Estate,3 BR,3,1944,32,Villa Compound,Furnished,Park View,Average,2,3755000,1932,307000,37553,2024-02-25,63
1743,Jumeirah Lakes Towers (JLT),4 BR,4,2803,26,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Good,2,4600000,1641,351000,65260,2024-08-17,23
1744,DIFC,2 BR,2,1083,54,Mid-Rise,Unfurnished,City View,New,1,3593000,3318,216000,24813,2022-03-03,91
1745,Oud Metha,2 BR,2,1232,16,High-Rise,Unfurnished,Garden View,Average,1,1051000,853,67000,25608,2024-06-11,37
1746,Downtown Dubai,4 BR,3,2981,58,Mid-Rise,Semi-Furnished,City View,New,1,9435000,3165,671000,61678,2024-05-12,141
1747,Damac Hills,2 BR,2,1404,49,High-Rise,Semi-Furnished,Pool View,Excellent,0,1851000,1318,137000,31372,2025-05-17,159
1748,Damac Hills,1 BR,1,809,2,Low-Rise,Unfurnished,Street View,Good,2,940000,1162,72000,13811,2024-09-17,117
1749,Dubailand,4 BR,3,2599,10,Serviced Apartment,Unfurnished,Burj Khalifa View,New,1,2712000,1043,203000,53541,2023-02-13,98
1750,Al Jaddaf,Studio,1,383,12,Villa Compound,Unfurnished,Sea View,Good,2,496000,1295,32000,9086,2024-12-16,59
1751,Al Jaddaf,5+ BR,6,5195,6,Serviced Apartment,Unfurnished,Garden View,Good,1,4974000,957,353000,122216,2024-09-08,142
1752,Dubai Hills Estate,4 BR,4,3329,43,Mid-Rise,Semi-Furnished,Park View,Excellent,0,6612000,1986,401000,75077,2023-01-14,88
1753,Jumeirah Beach Residence (JBR),3 BR,3,1873,20,Mid-Rise,Unfurnished,Street View,Good,0,3846000,2053,261000,22489,2024-01-05,34
1754,Dubai Marina,2 BR,2,1477,27,Mid-Rise,Unfurnished,Burj Khalifa View,New,2,3870000,2620,289000,22220,2024-04-05,10
1755,Mirdif,2 BR,2,1118,48,Serviced Apartment,Semi-Furnished,City View,Average,2,1083000,969,69000,20986,2024-06-03,145
1756,Business Bay,2 BR,2,1306,46,High-Rise,Semi-Furnished,Park View,Good,2,2589000,1982,149000,21620,2025-02-22,67
1757,Dubai Creek Harbour,1 BR,1,643,45,High-Rise,Unfurnished,Street View,Excellent,0,1137000,1768,65000,15903,2025-05-08,75
1758,Dubai Creek Harbour,2 BR,2,1458,34,Serviced Apartment,Semi-Furnished,Canal View,New,0,3274000,2246,182000,21567,2023-05-27,21
1759,Al Nahda,Studio,1,443,40,High-Rise,Semi-Furnished,City View,Excellent,1,438000,989,31000,7362,2023-04-21,89
1760,International City,Studio,1,549,3,High-Rise,Furnished,Garden View,Good,0,288000,525,20000,12771,2024-07-22,113
1761,Dubailand,3 BR,2,2062,17,High-Rise,Unfurnished,Park View,Average,1,1503000,729,101000,32386,2023-02-04,127
1762,Dubai South,Studio,1,519,22,Low-Rise,Furnished,City View,Good,2,434000,836,25000,10335,2024-09-24,140
1763,Dubailand,2 BR,2,1258,56,Villa Compound,Unfurnished,Garden View,New,1,1230000,978,98000,19622,2024-11-07,161
1764,Dubai Creek Harbour,2 BR,2,1474,20,Serviced Apartment,Unfurnished,Pool View,Average,1,2005000,1360,129000,22859,2023-08-11,12
1765,Dubai South,3 BR,2,1504,50,Villa Compound,Furnished,Sea View,Good,1,1375000,914,100000,21297,2022-10-24,143
1766,Business Bay,4 BR,3,2402,16,High-Rise,Furnished,Street View,Excellent,0,5208000,2168,418000,28879,2024-12-15,46
1767,Jumeirah Village Circle (JVC),5+ BR,5,3643,46,Mid-Rise,Furnished,Sea View,Average,0,5355000,1470,421000,46344,2023-04-26,179
1768,Business Bay,5+ BR,5,5331,44,Villa Compound,Furnished,Burj Khalifa View,Good,1,13383000,2510,1023000,102236,2022-04-25,14
1769,Dubai Silicon Oasis,1 BR,1,745,55,Mid-Rise,Furnished,City View,New,0,940000,1262,57000,9524,2024-01-13,17
1770,Dubai Silicon Oasis,4 BR,4,3291,25,Low-Rise,Furnished,Park View,Good,0,3245000,986,258000,44427,2025-05-25,114
1771,Jumeirah Beach Residence (JBR),Studio,1,472,22,Low-Rise,Semi-Furnished,Sea View,New,1,1514000,3208,127000,6166,2022-07-09,20
1772,Dubailand,Studio,1,438,34,Villa Compound,Unfurnished,Canal View,Average,1,374000,854,31000,5898,2024-03-13,37
1773,Dubai Hills Estate,4 BR,4,3014,17,Mid-Rise,Furnished,Sea View,Good,2,6079000,2017,401000,56893,2022-01-18,155
1774,Dubai Marina,5+ BR,6,4377,56,Serviced Apartment,Furnished,Burj Khalifa View,Good,0,12997000,2969,859000,80490,2024-07-12,78
1775,Dubai Silicon Oasis,1 BR,1,753,51,Villa Compound,Furnished,Street View,Good,2,870000,1155,51000,18069,2023-05-26,104
1776,Downtown Dubai,3 BR,2,2165,3,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,0,5756000,2659,451000,43275,2024-11-12,48
1777,Business Bay,4 BR,3,2316,12,Mid-Rise,Semi-Furnished,Burj Khalifa View,Excellent,0,5046000,2179,290000,50699,2023-05-21,80
1778,Al Barsha,1 BR,1,823,31,Serviced Apartment,Furnished,Garden View,Good,1,1118000,1358,83000,14181,2024-07-31,136
1779,Dubai Hills Estate,3 BR,2,1704,8,Low-Rise,Furnished,Garden View,New,2,3611000,2119,301000,32257,2022-02-17,144
1780,Jumeirah Village Circle (JVC),4 BR,4,3064,11,Serviced Apartment,Semi-Furnished,Park View,Good,2,3053000,996,233000,57952,2023-07-31,79
1781,Al Quoz,1 BR,1,752,56,Mid-Rise,Unfurnished,City View,Good,2,654000,870,48000,17009,2022-05-29,152
1782,Al Quoz,5+ BR,4,4364,40,Mid-Rise,Unfurnished,Sea View,New,2,4548000,1042,296000,98930,2024-09-28,90
1783,Bur Dubai,5+ BR,6,5213,1,Mid-Rise,Semi-Furnished,Garden View,Good,2,3906000,749,237000,98614,2023-05-28,153
1784,Dubai Silicon Oasis,Studio,1,383,38,High-Rise,Semi-Furnished,Garden View,Excellent,0,378000,987,26000,4803,2025-01-27,65
1785,DIFC,5+ BR,5,5636,5,Villa Compound,Semi-Furnished,Street View,New,0,16285000,2889,1255000,83914,2023-11-03,11
1786,Dubai Silicon Oasis,2 BR,2,1114,9,High-Rise,Furnished,Canal View,Good,1,1420000,1275,91000,19653,2024-05-14,97
1787,Dubai Silicon Oasis,2 BR,2,1314,29,Low-Rise,Semi-Furnished,City View,Good,2,1284000,977,106000,27741,2023-03-16,7
1788,Palm Jumeirah,3 BR,2,1872,8,Mid-Rise,Furnished,City View,Excellent,2,6748000,3605,379000,22680,2022-06-05,64
1789,Business Bay,3 BR,3,1866,48,Mid-Rise,Unfurnished,City View,Good,0,4290000,2299,244000,44003,2023-11-16,167
1790,Jumeirah Village Circle (JVC),Studio,1,383,36,High-Rise,Semi-Furnished,Garden View,Excellent,2,483000,1261,33000,8541,2023-02-02,73
1791,Dubailand,4 BR,3,3199,41,High-Rise,Semi-Furnished,Garden View,Average,0,2647000,827,172000,69696,2022-12-15,104
1792,Downtown Dubai,5+ BR,5,3231,8,Serviced Apartment,Furnished,Sea View,Good,1,8683000,2687,583000,60437,2024-10-18,93
1793,Dubai Hills Estate,5+ BR,4,5491,26,Mid-Rise,Semi-Furnished,City View,Good,0,11116000,2024,749000,108200,2024-08-14,141
1794,Business Bay,5+ BR,6,3823,34,Low-Rise,Unfurnished,Canal View,Excellent,1,9970000,2608,638000,57792,2023-01-03,13
1795,Business Bay,3 BR,3,1759,46,Low-Rise,Unfurnished,City View,Average,0,3365000,1913,200000,38819,2023-10-15,109
1796,Dubai Marina,Studio,1,406,37,Low-Rise,Furnished,Burj Khalifa View,Good,1,1099000,2707,84000,8957,2025-05-31,82
1797,Al Jaddaf,4 BR,3,2794,35,Low-Rise,Furnished,Garden View,Average,2,3281000,1174,245000,62555,2023-03-17,149
1798,Remraam,2 BR,2,1343,34,High-Rise,Unfurnished,Pool View,New,2,1294000,964,83000,26255,2023-05-20,95
1799,Remraam,1 BR,1,909,49,High-Rise,Semi-Furnished,Sea View,Average,1,737000,811,50000,21514,2023-10-30,3
1800,Business Bay,3 BR,2,2161,40,Low-Rise,Furnished,Street View,Average,0,4246000,1965,312000,30309,2023-02-28,93
1801,Mirdif,Studio,1,624,31,Serviced Apartment,Furnished,Park View,Excellent,1,702000,1125,52000,8848,2024-04-18,19
1802,Jumeirah Village Circle (JVC),4 BR,4,3093,20,Villa Compound,Semi-Furnished,City View,Average,0,3321000,1074,255000,48995,2023-05-24,110
1803,Jumeirah Village Circle (JVC),1 BR,1,750,53,Mid-Rise,Semi-Furnished,Park View,Excellent,1,870000,1160,60000,15720,2023-07-11,30
1804,Al Nahda,5+ BR,4,3017,11,Villa Compound,Semi-Furnished,Park View,Good,0,2562000,849,182000,42025,2023-03-22,97
1805,Dubai Hills Estate,4 BR,4,3032,23,Low-Rise,Furnished,Sea View,New,2,8443000,2785,676000,75516,2025-05-29,166
1806,Al Barsha,4 BR,4,2833,51,Low-Rise,Semi-Furnished,Canal View,Average,1,3229000,1140,264000,56302,2022-11-05,53
1807,Jumeirah Village Circle (JVC),Studio,1,397,16,High-Rise,Furnished,Canal View,Average,2,492000,1239,32000,7309,2023-05-04,80
1808,Business Bay,2 BR,2,955,56,Mid-Rise,Furnished,Canal View,New,0,2951000,3090,233000,18087,2025-04-01,142
1809,Dubai South,4 BR,3,2434,58,Villa Compound,Furnished,Garden View,Excellent,1,2131000,876,119000,36402,2022-06-20,18
1810,Al Barsha,5+ BR,6,3172,52,Mid-Rise,Semi-Furnished,Park View,Average,2,3008000,948,170000,61913,2024-09-15,137
1811,Dubai Silicon Oasis,5+ BR,4,3867,36,Low-Rise,Furnished,Burj Khalifa View,Excellent,0,5578000,1442,377000,92702,2023-07-25,164
1812,Dubailand,1 BR,1,736,20,Villa Compound,Unfurnished,Street View,Good,0,542000,736,40000,17524,2023-03-27,25
1813,Dubai Hills Estate,3 BR,2,1477,31,Low-Rise,Furnished,Burj Khalifa View,Good,2,3512000,2378,286000,29172,2024-12-16,154
1814,Arjan,1 BR,1,641,42,Serviced Apartment,Semi-Furnished,Pool View,Good,1,646000,1008,53000,13478,2024-11-19,149
1815,Palm Jumeirah,3 BR,3,1806,56,Villa Compound,Furnished,Pool View,Good,1,5947000,3293,457000,32314,2025-01-26,26
1816,Jumeirah Lakes Towers (JLT),1 BR,1,890,26,Villa Compound,Furnished,Canal View,New,2,1845000,2073,123000,14956,2024-11-28,160
1817,Dubailand,1 BR,1,948,3,High-Rise,Furnished,City View,Excellent,0,892000,941,55000,17131,2022-05-13,5
1818,Palm Jumeirah,1 BR,1,664,21,Serviced Apartment,Furnished,Garden View,Good,1,2205000,3321,170000,10788,2023-04-20,172
1819,Dubai Creek Harbour,2 BR,2,1318,3,High-Rise,Unfurnished,Sea View,Average,0,2243000,1702,173000,26334,2023-10-12,52
1820,Al Barsha,4 BR,3,2685,26,High-Rise,Semi-Furnished,Pool View,New,1,3510000,1307,271000,42346,2024-08-26,1
1821,Palm Jumeirah,4 BR,4,3369,16,Low-Rise,Furnished,Sea View,Average,0,13734000,4077,799000,58595,2023-10-22,138
1822,Downtown Dubai,1 BR,1,676,49,High-Rise,Furnished,Garden View,Good,1,1851000,2738,128000,13135,2023-12-21,88
1823,Dubai Hills Estate,1 BR,1,775,1,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Average,1,1333000,1720,81000,19251,2022-12-09,133
1824,Dubailand,3 BR,2,1667,29,Mid-Rise,Unfurnished,Park View,New,2,1509000,905,127000,33953,2022-04-27,119
1825,International City,4 BR,4,2038,6,Serviced Apartment,Unfurnished,Park View,Good,0,1014000,498,76000,41121,2025-04-08,135
1826,Dubai Hills Estate,5+ BR,4,4681,25,Mid-Rise,Semi-Furnished,Street View,Average,0,7801000,1667,523000,61618,2023-04-29,73
1827,Al Nahda,5+ BR,6,4912,55,Low-Rise,Unfurnished,Canal View,Good,1,5099000,1038,341000,97085,2023-07-12,62
1828,Jumeirah Lakes Towers (JLT),4 BR,4,3483,31,Villa Compound,Semi-Furnished,Garden View,New,2,6461000,1855,364000,66728,2023-01-15,139
1829,Dubai Silicon Oasis,Studio,1,605,3,High-Rise,Furnished,Street View,Excellent,0,611000,1010,46000,8265,2025-03-21,127
1830,Dubai Silicon Oasis,4 BR,3,2006,21,High-Rise,Semi-Furnished,Park View,New,1,2110000,1052,175000,49353,2025-04-27,20
1831,Bur Dubai,3 BR,3,1812,9,High-Rise,Furnished,Park View,New,0,1645000,908,125000,44871,2024-09-30,116
1832,Deira,4 BR,4,3022,12,Mid-Rise,Furnished,Garden View,Excellent,0,2577000,853,162000,70067,2025-03-17,130
1833,Damac Hills,2 BR,2,1232,39,Villa Compound,Semi-Furnished,Canal View,Average,1,1683000,1366,93000,25830,2023-06-24,20
1834,Deira,5+ BR,5,3362,20,Mid-Rise,Semi-Furnished,Burj Khalifa View,New,1,3552000,1057,231000,44902,2024-10-01,91
1835,DIFC,2 BR,2,1121,53,High-Rise,Semi-Furnished,City View,Good,2,3398000,3031,235000,20602,2022-07-20,76
1836,Deira,Studio,1,634,30,Low-Rise,Unfurnished,Park View,New,2,521000,822,37000,12043,2025-02-28,11
1837,Palm Jumeirah,Studio,1,406,18,Mid-Rise,Furnished,Canal View,Good,1,1525000,3756,100000,7257,2024-12-27,116
1838,Dubai South,4 BR,3,2492,12,Serviced Apartment,Unfurnished,Street View,New,0,1931000,775,158000,49284,2023-03-11,109
1839,Remraam,4 BR,3,3092,26,Low-Rise,Unfurnished,Burj Khalifa View,Good,1,2729000,883,165000,68114,2023-06-05,60
1840,Dubai Marina,2 BR,2,1020,39,Low-Rise,Semi-Furnished,Canal View,Excellent,0,2731000,2677,232000,22130,2023-04-07,166
1841,Mirdif,3 BR,2,1452,52,High-Rise,Semi-Furnished,Canal View,Excellent,1,1757000,1210,144000,20721,2024-05-12,13
1842,Mirdif,4 BR,4,2888,17,Mid-Rise,Furnished,City View,Good,2,3194000,1106,193000,52951,2022-04-13,146
1843,DIFC,1 BR,1,660,15,High-Rise,Furnished,Garden View,Average,1,1685000,2553,140000,8282,2024-10-26,176
1844,International City,4 BR,4,2446,33,Mid-Rise,Furnished,City View,Excellent,1,1653000,676,122000,45089,2022-09-21,56
1845,Bur Dubai,3 BR,2,1738,27,Villa Compound,Furnished,Canal View,Excellent,2,1732000,997,97000,31636,2024-09-11,11
1846,Dubai Silicon Oasis,2 BR,2,1084,10,Low-Rise,Semi-Furnished,Pool View,Average,1,878000,810,64000,23373,2024-09-28,93
1847,Dubailand,2 BR,2,1316,18,Villa Compound,Furnished,City View,New,2,1388000,1055,99000,18663,2022-08-12,175
1848,Dubai South,4 BR,4,3480,16,High-Rise,Furnished,Sea View,Excellent,0,3422000,983,233000,60356,2024-05-07,100
1849,Jumeirah Lakes Towers (JLT),1 BR,1,606,56,Low-Rise,Unfurnished,Park View,Good,1,900000,1485,66000,12665,2022-07-03,85
1850,Dubai Marina,5+ BR,5,4342,35,Serviced Apartment,Semi-Furnished,Pool View,Excellent,2,9931000,2287,654000,83298,2023-06-11,145
1851,Oud Metha,Studio,1,490,20,High-Rise,Semi-Furnished,Pool View,New,0,570000,1163,45000,8954,2023-09-10,15
1852,Mirdif,5+ BR,4,4405,21,Mid-Rise,Semi-Furnished,Burj Khalifa View,Excellent,2,4758000,1080,368000,79785,2024-02-07,140
1853,Damac Hills,1 BR,1,766,57,Villa Compound,Unfurnished,Garden View,Excellent,1,1083000,1414,66000,14876,2024-12-22,87
1854,Damac Hills,3 BR,3,2185,8,Villa Compound,Furnished,Canal View,New,0,3454000,1581,261000,33163,2022-01-16,34
1855,Dubai Creek Harbour,2 BR,2,1138,8,High-Rise,Unfurnished,Burj Khalifa View,Excellent,2,2180000,1916,173000,23574,2025-03-21,77
1856,Oud Metha,4 BR,4,2820,26,Villa Compound,Unfurnished,Pool View,New,1,3180000,1128,185000,48819,2025-01-04,138
1857,Al Jaddaf,2 BR,2,1023,57,High-Rise,Semi-Furnished,Sea View,Excellent,2,1439000,1407,106000,20644,2023-03-22,48
1858,Dubai Hills Estate,Studio,1,444,23,Serviced Apartment,Furnished,Park View,Excellent,1,964000,2171,79000,9556,2023-05-28,57
1859,Jumeirah Lakes Towers (JLT),Studio,1,546,59,Villa Compound,Semi-Furnished,Street View,Excellent,0,912000,1670,57000,8371,2024-03-19,20
1860,Deira,2 BR,2,1366,36,Mid-Rise,Semi-Furnished,Sea View,Excellent,2,1452000,1063,88000,25016,2023-01-19,85
1861,Deira,1 BR,1,916,54,Serviced Apartment,Unfurnished,Park View,Good,2,698000,762,48000,12665,2023-10-27,94
1862,Oud Metha,4 BR,4,3388,56,Mid-Rise,Furnished,Park View,New,1,4644000,1371,364000,64406,2024-12-06,76
1863,Dubai Creek Harbour,4 BR,3,2531,21,Serviced Apartment,Semi-Furnished,Park View,New,2,4990000,1972,308000,52989,2023-09-10,48
1864,Deira,2 BR,2,1045,6,Low-Rise,Furnished,Sea View,Excellent,0,998000,955,57000,21471,2022-03-28,4
1865,Al Barsha,Studio,1,411,8,Villa Compound,Unfurnished,Pool View,Average,2,355000,864,27000,6888,2022-12-07,95
1866,Damac Hills,1 BR,1,737,36,High-Rise,Furnished,Garden View,Good,0,984000,1335,79000,11178,2024-06-08,11
1867,DIFC,2 BR,2,1491,50,High-Rise,Furnished,Park View,Good,1,4727000,3170,373000,23724,2025-03-31,49
1868,Business Bay,3 BR,3,1787,48,Mid-Rise,Unfurnished,Sea View,Good,0,4066000,2275,243000,44098,2023-12-30,89
1869,Oud Metha,4 BR,4,2583,60,Low-Rise,Semi-Furnished,City View,New,0,3644000,1411,206000,54165,2024-06-07,152
1870,Bur Dubai,4 BR,4,2707,37,Low-Rise,Furnished,Burj Khalifa View,Good,0,3034000,1121,256000,67076,2024-10-10,107
1871,DIFC,Studio,1,448,7,Low-Rise,Semi-Furnished,Pool View,New,0,1246000,2781,90000,8237,2024-06-10,22
1872,Damac Hills,5+ BR,5,3621,26,Low-Rise,Furnished,Canal View,Good,2,5934000,1639,470000,52990,2025-04-23,93
1873,Remraam,Studio,1,512,57,Serviced Apartment,Furnished,Canal View,Average,0,552000,1078,38000,7732,2024-05-18,82
1874,Dubai Creek Harbour,2 BR,2,1069,13,Villa Compound,Furnished,City View,New,1,2347000,2196,196000,14018,2024-11-05,97
1875,Al Quoz,4 BR,3,2565,47,Serviced Apartment,Furnished,City View,Average,2,2088000,814,116000,62995,2023-01-06,115
1876,Oud Metha,2 BR,2,1198,19,High-Rise,Furnished,Street View,New,2,1470000,1227,98000,20332,2023-02-02,6
1877,Dubai South,5+ BR,5,4118,36,Serviced Apartment,Furnished,Burj Khalifa View,Excellent,0,4600000,1117,259000,78092,2025-05-09,138
1878,Al Nahda,4 BR,4,3177,26,Villa Compound,Unfurnished,Garden View,New,2,2616000,823,195000,63782,2023-01-12,8
1879,Oud Metha,1 BR,1,649,53,Villa Compound,Semi-Furnished,Garden View,Good,1,753000,1160,54000,12431,2024-07-24,179
1880,Al Nahda,1 BR,1,804,6,High-Rise,Unfurnished,Sea View,Good,0,778000,968,49000,19609,2024-01-06,40
1881,Dubai Silicon Oasis,4 BR,4,3376,49,Mid-Rise,Semi-Furnished,Street View,New,2,4208000,1246,317000,54745,2024-11-01,115
1882,Dubai Hills Estate,3 BR,2,1572,54,Serviced Apartment,Furnished,Garden View,Good,1,3251000,2068,213000,37837,2024-01-09,15
1883,Al Quoz,1 BR,1,668,51,Low-Rise,Unfurnished,Street View,Average,1,472000,707,30000,11912,2024-09-17,81
1884,Al Quoz,1 BR,1,858,59,Mid-Rise,Unfurnished,Canal View,Excellent,0,862000,1005,72000,19245,2024-04-21,88
1885,Jumeirah Lakes Towers (JLT),3 BR,2,1532,34,Villa Compound,Unfurnished,Sea View,Average,2,2634000,1719,223000,37100,2023-12-24,171
1886,Dubai Creek Harbour,2 BR,2,1419,55,Mid-Rise,Unfurnished,City View,Excellent,0,2573000,1813,143000,26118,2023-05-29,92
1887,Al Quoz,1 BR,1,872,19,Serviced Apartment,Furnished,Pool View,New,2,808000,927,65000,11145,2022-11-01,39
1888,Palm Jumeirah,1 BR,1,607,2,Mid-Rise,Furnished,Park View,Good,2,1962000,3232,155000,8924,2023-07-16,110
1889,Jumeirah Beach Residence (JBR),1 BR,1,625,22,Low-Rise,Furnished,Canal View,New,2,2295000,3672,172000,15087,2022-04-13,23
1890,Palm Jumeirah,2 BR,2,1472,48,Mid-Rise,Furnished,Garden View,Good,0,5445000,3699,379000,32905,2024-02-11,180
1891,Palm Jumeirah,1 BR,1,861,56,Low-Rise,Furnished,Pool View,New,0,3716000,4316,252000,16657,2024-01-22,12
1892,Dubai Silicon Oasis,Studio,1,432,28,Mid-Rise,Unfurnished,City View,Average,0,367000,850,30000,6833,2023-09-02,132
1893,Arjan,3 BR,2,1792,39,Serviced Apartment,Unfurnished,Canal View,New,1,2551000,1424,200000,43261,2022-04-01,62
1894,Dubai Creek Harbour,1 BR,1,790,11,Serviced Apartment,Semi-Furnished,City View,New,1,1511000,1913,114000,19747,2024-12-06,36
1895,Damac Hills,1 BR,1,634,60,Mid-Rise,Furnished,Street View,Average,1,756000,1192,63000,8173,2023-09-28,56
1896,Damac Hills,1 BR,1,617,35,Low-Rise,Unfurnished,Garden View,Average,0,795000,1288,63000,12640,2023-08-22,70
1897,Dubailand,Studio,1,555,52,Villa Compound,Unfurnished,Park View,New,1,533000,960,41000,12426,2023-07-29,73
1898,Dubai Hills Estate,1 BR,1,743,11,High-Rise,Furnished,Sea View,Excellent,0,1542000,2075,130000,12340,2022-02-05,49
1899,Dubai Creek Harbour,3 BR,3,1401,26,Mid-Rise,Semi-Furnished,Pool View,Average,2,2192000,1565,167000,24619,2024-12-23,4
1900,Downtown Dubai,3 BR,3,2174,44,Low-Rise,Furnished,Burj Khalifa View,Good,0,7373000,3391,416000,31311,2022-11-12,154
1901,Remraam,3 BR,2,1629,40,Villa Compound,Furnished,City View,Average,2,1594000,979,97000,32999,2022-09-22,8
1902,International City,Studio,1,581,8,Low-Rise,Semi-Furnished,Canal View,New,2,379000,652,30000,8927,2022-09-11,28
1903,Arjan,5+ BR,5,4911,25,Villa Compound,Unfurnished,Pool View,New,1,5190000,1057,297000,97029,2024-12-14,133
1904,Palm Jumeirah,5+ BR,4,3739,27,Low-Rise,Unfurnished,Sea View,Good,2,12228000,3270,916000,67347,2023-10-04,11
1905,Mirdif,5+ BR,5,4674,4,Low-Rise,Semi-Furnished,Garden View,New,2,4254000,910,333000,60530,2024-06-21,78
1906,Mirdif,2 BR,2,1176,37,Serviced Apartment,Semi-Furnished,City View,Good,2,1163000,989,87000,17743,2023-10-20,113
1907,DIFC,1 BR,1,707,36,Villa Compound,Furnished,City View,Excellent,0,2150000,3041,142000,8552,2023-11-21,16
1908,Damac Hills,5+ BR,5,3745,46,Serviced Apartment,Furnished,Park View,New,1,6271000,1674,363000,64072,2024-02-12,64
1909,Dubai Silicon Oasis,3 BR,2,2003,50,Serviced Apartment,Furnished,Sea View,New,0,2899000,1447,162000,24631,2024-05-23,122
1910,Dubailand,2 BR,2,1382,4,Mid-Rise,Unfurnished,City View,Average,1,997000,721,82000,33986,2022-05-27,180
1911,Al Quoz,Studio,1,435,45,Serviced Apartment,Furnished,Canal View,Good,2,438000,1007,30000,5482,2022-10-30,106
1912,DIFC,5+ BR,5,3067,53,Serviced Apartment,Semi-Furnished,Canal View,New,0,12093000,3943,916000,71607,2023-02-02,133
1913,Remraam,1 BR,1,674,60,Mid-Rise,Semi-Furnished,City View,New,1,729000,1082,54000,10433,2022-09-27,54
1914,Dubai South,1 BR,1,723,16,High-Rise,Furnished,Street View,Average,0,480000,664,29000,14503,2022-08-02,160
1915,Dubai Creek Harbour,2 BR,2,1385,60,Villa Compound,Unfurnished,Garden View,Excellent,0,2465000,1780,170000,17926,2024-04-04,158
1916,Downtown Dubai,4 BR,4,2300,20,Serviced Apartment,Unfurnished,Park View,Average,2,5372000,2336,314000,29841,2024-10-23,147
1917,Dubai Marina,5+ BR,6,3640,35,High-Rise,Furnished,Canal View,Good,1,10162000,2792,698000,81909,2024-06-11,19
1918,Damac Hills,2 BR,2,1311,19,Serviced Apartment,Unfurnished,Garden View,Excellent,0,1598000,1219,112000,29243,2025-04-21,65
1919,Dubailand,4 BR,4,3439,56,Mid-Rise,Furnished,Garden View,Good,0,3145000,915,208000,50661,2022-04-04,111
1920,Damac Hills,4 BR,4,3206,2,Mid-Rise,Semi-Furnished,Burj Khalifa View,Average,2,3716000,1159,248000,60052,2022-07-02,170
1921,Remraam,2 BR,2,1133,15,Low-Rise,Furnished,Pool View,Good,0,934000,824,72000,14724,2024-11-17,71
